 rank |            title            | revenue 
------+-----------------------------+---------
    1 | TELEGRAPH VOYAGE            |  231.73
    2 | WIFE TURN                   |  223.69
    3 | ZORRO ARK                   |  214.69
    4 | GOODFELLAS SALUTE           |  209.69
    5 | SATURDAY LAMBS              |  204.72
    6 | TITANS JERK                 |  201.71
    7 | TORQUE BOUND                |  198.72
    8 | HARRY IDAHO                 |  195.70
    9 | INNOCENT USUAL              |  191.74
   10 | HUSTLER PARTY               |  190.78
   11 | PELICAN COMFORTS            |  188.74
   12 | CAT CONEHEADS               |  181.70
   13 | ENEMY ODDS                  |  180.71
   14 | BUCKET BROTHERHOOD          |  180.66
   15 | RANGE MOONWALKER            |  179.73
   16 | MASSACRE USUAL              |  179.70
   17 | VIDEOTAPE ARSENIC           |  178.71
   18 | DOGMA FAMILY                |  178.70
   19 | APACHE DIVINE               |  178.69
   20 | VELVET TERMINATOR           |  177.74
   21 | DORADO NOTTING              |  176.73
   22 | FOOL MOCKINGBIRD            |  175.77
   23 | WITCHES PANIC               |  173.70
   24 | CLOSER BANG                 |  172.72
   25 | SCALAWAG DUCK               |  172.68
   26 | ROSES TREASURE              |  171.72
   27 | SUNRISE LEAGUE              |  170.76
   28 | SHOW LORD                   |  170.75
   29 | NIGHTMARE CHILL             |  169.75
   30 | SCORPION APOLLO             |  168.77
   31 | AMERICAN CIRCUS             |  167.78
   32 | CONFIDENTIAL INTERVIEW      |  164.71
   33 | MAIDEN HOME                 |  163.76
   34 | WORKING MICROCOSMOS         |  163.75
   34 | SEATTLE EXPECATIONS         |  163.75
   36 | BOOGIE AMELIE               |  163.70
   37 | STING PERSONAL              |  159.79
   38 | LOLA AGENT                  |  159.76
   39 | BACKLASH UNDEFEATED         |  158.81
   40 | MIDSUMMER GROUNDHOG         |  156.78
   41 | TITANIC BOONDOCK            |  154.77
   42 | STAGECOACH ARMAGEDDON       |  154.74
   43 | MINE TITANS                 |  153.81
   44 | PITY BOUND                  |  153.74
   45 | SECRETS PARADISE            |  152.80
   46 | HEAD STRANGER               |  152.78
   46 | EAGLES PANKY                |  152.78
   48 | WHISPERER GIANT             |  151.78
   49 | EASY GLADIATOR              |  150.77
   50 | MINDS TRUMAN                |  149.80
   51 | FELLOWSHIP AUTUMN           |  149.74
   52 | WONDERLAND CHRISTMAS        |  148.78
   53 | STREETCAR INTENTIONS        |  148.75
   54 | KISSING DOLLS               |  147.80
   55 | SUIT WALLS                  |  147.79
   56 | TRADING PINOCCHIO           |  147.75
   57 | LIES TREATMENT              |  147.73
   58 | ATTRACTION NEWTON           |  146.76
   59 | FORRESTER COMANCHEROS       |  146.73
   60 | MOVIE SHAKESPEARE           |  145.74
   61 | TRIP NEWTON                 |  145.72
   62 | GARDEN ISLAND               |  144.80
   63 | DURHAM PANKY                |  144.74
   64 | PRINCESS GIANT              |  142.74
   65 | CALENDAR GUNFIGHT           |  141.79
   65 | MOONSHINE CABIN             |  141.79
   67 | TOURIST PELICAN             |  141.78
   68 | STEEL SANTA                 |  141.77
   69 | DRIFTER COMMANDMENTS        |  141.76
   70 | CHANCE RESURRECTION         |  141.73
   71 | FLAMINGOS CONNECTICUT       |  139.77
   72 | FIDELITY DEVIL              |  138.79
   73 | CENTER DINOSAUR             |  137.76
   74 | COMA HEAD                   |  137.74
   75 | QUEEN LUKE                  |  136.78
   76 | NAME DETECTIVE              |  136.77
   77 | CONEHEADS SMOOCHY           |  136.75
   78 | GLEAMING JAWBREAKER         |  136.70
   78 | PULP BEVERLY                |  136.70
   80 | YENTL IDAHO                 |  135.77
   81 | FLINTSTONES HAPPINESS       |  134.83
   82 | WHALE BIKINI                |  134.82
   83 | HUNCHBACK IMPOSSIBLE        |  134.80
   84 | DETAILS PACKER              |  133.81
   85 | PINOCCHIO SIMON             |  133.80
   86 | SUSPECTS QUILLS             |  133.70
   87 | NETWORK PEAK                |  133.69
   88 | HEARTBREAKERS BRIGHT        |  132.80
   89 | KISS GLORY                  |  132.78
   89 | BEAUTY GREASE               |  132.78
   91 | LIAISONS SWEET              |  131.78
   92 | ALADDIN CALENDAR            |  131.77
   93 | SLEEPING SUSPECTS           |  131.76
   94 | METROPOLIS COMA             |  131.74
   95 | BINGO TALENTED              |  131.71
   96 | ROAD ROXANNE                |  130.81
   97 | MILLION ACE                 |  130.80
   98 | RIDGEMONT SUBMARINE         |  130.68
   99 | SATISFACTION CONFIDENTIAL   |  129.83
  100 | HEAVYWEIGHTS BEAST          |  129.77
  101 | DAWN POND                   |  128.82
  102 | INTERVIEW LIAISONS          |  128.80
  103 | CAUSE DATE                  |  128.79
  104 | CANDLES GRAPES              |  128.77
  105 | FORWARD TEMPLE              |  128.68
  106 | TEEN APOLLO                 |  127.83
  107 | SOMETHING DUCK              |  127.81
  108 | SNATCH SLIPPER              |  127.78
  109 | FALCON VOLUME               |  127.77
  110 | TRAP GUYS                   |  126.84
  111 | MISSION ZOOLANDER           |  126.82
  112 | SABRINA MIDNIGHT            |  126.79
  112 | AGENT TRUMAN                |  126.79
  114 | FREDDY STORM                |  126.77
  115 | STRANGERS GRAFFITI          |  123.83
  116 | DOORS PRESIDENT             |  123.81
  117 | MALTESE HOPE                |  123.78
  118 | BUTTERFLY CHOCOLAT          |  123.70
  119 | TIMBERLAND SKY              |  123.69
  120 | WATERFRONT DELIVERANCE      |  121.83
  121 | SLEEPLESS MONSOON           |  121.80
  122 | TRUMAN CRAZY                |  121.77
  123 | SCARFACE BANG               |  120.82
  124 | HIGH ENCINO                 |  120.78
  125 | RAGE GAMES                  |  119.81
  126 | GHOST GROUNDHOG             |  119.79
  127 | ANGELS LIFE                 |  119.78
  128 | WASH HEAVENLY               |  119.77
  129 | LADY STAGE                  |  118.83
  130 | DESERT POSEIDON             |  118.81
  131 | PHILADELPHIA WIFE           |  118.78
  132 | VIRTUAL SPOILERS            |  117.86
  133 | THIEF PELICAN               |  117.81
  134 | BROOKLYN DESERT             |  116.79
  134 | SECRET GROUNDHOG            |  116.79
  136 | KNOCK WARLOCK               |  116.76
  137 | HANKY OCTOBER               |  116.74
  138 | ROCKETEER MOTHER            |  116.67
  139 | GALAXY SWEETHEARTS          |  115.82
  140 | PREJUDICE OLEANDER          |  115.80
  140 | SPICE SORORITY              |  115.80
  142 | DRIVING POLISH              |  115.79
  142 | BEVERLY OUTLAW              |  115.79
  144 | CONVERSATION DOWNHILL       |  114.83
  145 | UNDEFEATED DALMATIONS       |  114.79
  146 | ARACHNOPHOBIA ROLLERCOASTER |  114.76
  147 | IDOLS SNATCHERS             |  114.70
  148 | HANGING DEEP                |  113.81
  149 | REDEMPTION COMFORTS         |  113.80
  150 | OPEN AFRICAN                |  113.79
  151 | STRICTLY SCARFACE           |  113.77
  152 | SECRETARY ROUGE             |  112.82
  153 | HORN WORKING                |  112.76
  154 | CLUELESS BUCKET             |  112.75
  155 | GANGS PRIDE                 |  112.73
  156 | BIRDS PERDITION             |  111.82
  157 | SWEDEN SHINING              |  111.81
  158 | MONEY HAROLD                |  111.80
  159 | FARGO GANDHI                |  111.76
  160 | PANKY SUBMARINE             |  110.85
  161 | DUDE BLINDNESS              |  110.84
  162 | EXPECATIONS NATURAL         |  110.82
  163 | REQUIEM TYCOON              |  110.81
  163 | CHASING FIGHT               |  110.81
  165 | REIGN GENTLEMEN             |  110.80
  166 | TOMORROW HUSTLER            |  110.75
