 rank |            title            | revenue | total revenue 
------+-----------------------------+---------+---------------
    1 | TELEGRAPH VOYAGE            |  231.73 |        231.73
    2 | WIFE TURN                   |  223.69 |        455.42
    3 | ZORRO ARK                   |  214.69 |        670.11
    4 | GOODFELLAS SALUTE           |  209.69 |        879.80
    5 | SATURDAY LAMBS              |  204.72 |       1084.52
    6 | TITANS JERK                 |  201.71 |       1286.23
    7 | TORQUE BOUND                |  198.72 |       1484.95
    8 | HARRY IDAHO                 |  195.70 |       1680.65
    9 | INNOCENT USUAL              |  191.74 |       1872.39
   10 | HUSTLER PARTY               |  190.78 |       2063.17
   11 | PELICAN COMFORTS            |  188.74 |       2251.91
   12 | CAT CONEHEADS               |  181.70 |       2433.61
   13 | ENEMY ODDS                  |  180.71 |       2614.32
   14 | BUCKET BROTHERHOOD          |  180.66 |       2794.98
   15 | RANGE MOONWALKER            |  179.73 |       2974.71
   16 | MASSACRE USUAL              |  179.70 |       3154.41
   17 | VIDEOTAPE ARSENIC           |  178.71 |       3333.12
   18 | DOGMA FAMILY                |  178.70 |       3511.82
   19 | APACHE DIVINE               |  178.69 |       3690.51
   20 | VELVET TERMINATOR           |  177.74 |       3868.25
   21 | DORADO NOTTING              |  176.73 |       4044.98
   22 | FOOL MOCKINGBIRD            |  175.77 |       4220.75
   23 | WITCHES PANIC               |  173.70 |       4394.45
   24 | CLOSER BANG                 |  172.72 |       4567.17
   25 | SCALAWAG DUCK               |  172.68 |       4739.85
   26 | ROSES TREASURE              |  171.72 |       4911.57
   27 | SUNRISE LEAGUE              |  170.76 |       5082.33
   28 | SHOW LORD                   |  170.75 |       5253.08
   29 | NIGHTMARE CHILL             |  169.75 |       5422.83
   30 | SCORPION APOLLO             |  168.77 |       5591.60
   31 | AMERICAN CIRCUS             |  167.78 |       5759.38
   32 | CONFIDENTIAL INTERVIEW      |  164.71 |       5924.09
   33 | MAIDEN HOME                 |  163.76 |       6087.85
   34 | SEATTLE EXPECATIONS         |  163.75 |       6415.35
   34 | WORKING MICROCOSMOS         |  163.75 |       6415.35
   36 | BOOGIE AMELIE               |  163.70 |       6579.05
   37 | STING PERSONAL              |  159.79 |       6738.84
   38 | LOLA AGENT                  |  159.76 |       6898.60
   39 | BACKLASH UNDEFEATED         |  158.81 |       7057.41
   40 | MIDSUMMER GROUNDHOG         |  156.78 |       7214.19
   41 | TITANIC BOONDOCK            |  154.77 |       7368.96
   42 | STAGECOACH ARMAGEDDON       |  154.74 |       7523.70
   43 | MINE TITANS                 |  153.81 |       7677.51
   44 | PITY BOUND                  |  153.74 |       7831.25
   45 | SECRETS PARADISE            |  152.80 |       7984.05
   46 | EAGLES PANKY                |  152.78 |       8289.61
   46 | HEAD STRANGER               |  152.78 |       8289.61
   48 | WHISPERER GIANT             |  151.78 |       8441.39
   49 | EASY GLADIATOR              |  150.77 |       8592.16
   50 | MINDS TRUMAN                |  149.80 |       8741.96
   51 | FELLOWSHIP AUTUMN           |  149.74 |       8891.70
   52 | WONDERLAND CHRISTMAS        |  148.78 |       9040.48
   53 | STREETCAR INTENTIONS        |  148.75 |       9189.23
   54 | KISSING DOLLS               |  147.80 |       9337.03
   55 | SUIT WALLS                  |  147.79 |       9484.82
   56 | TRADING PINOCCHIO           |  147.75 |       9632.57
   57 | LIES TREATMENT              |  147.73 |       9780.30
   58 | ATTRACTION NEWTON           |  146.76 |       9927.06
   59 | FORRESTER COMANCHEROS       |  146.73 |      10073.79
   60 | MOVIE SHAKESPEARE           |  145.74 |      10219.53
   61 | TRIP NEWTON                 |  145.72 |      10365.25
   62 | GARDEN ISLAND               |  144.80 |      10510.05
   63 | DURHAM PANKY                |  144.74 |      10654.79
   64 | PRINCESS GIANT              |  142.74 |      10797.53
   65 | CALENDAR GUNFIGHT           |  141.79 |      11081.11
   65 | MOONSHINE CABIN             |  141.79 |      11081.11
   67 | TOURIST PELICAN             |  141.78 |      11222.89
   68 | STEEL SANTA                 |  141.77 |      11364.66
   69 | DRIFTER COMMANDMENTS        |  141.76 |      11506.42
   70 | CHANCE RESURRECTION         |  141.73 |      11648.15
   71 | FLAMINGOS CONNECTICUT       |  139.77 |      11787.92
   72 | FIDELITY DEVIL              |  138.79 |      11926.71
   73 | CENTER DINOSAUR             |  137.76 |      12064.47
   74 | COMA HEAD                   |  137.74 |      12202.21
   75 | QUEEN LUKE                  |  136.78 |      12338.99
   76 | NAME DETECTIVE              |  136.77 |      12475.76
   77 | CONEHEADS SMOOCHY           |  136.75 |      12612.51
   78 | GLEAMING JAWBREAKER         |  136.70 |      12885.91
   78 | PULP BEVERLY                |  136.70 |      12885.91
