 rank |            title            | revenue | total revenue | percent revenue 
------+-----------------------------+---------+---------------+-----------------
    1 | TELEGRAPH VOYAGE            |  231.73 |        231.73 | 00.34
    2 | WIFE TURN                   |  223.69 |        455.42 | 00.68
    3 | ZORRO ARK                   |  214.69 |        670.11 | 00.99
    4 | GOODFELLAS SALUTE           |  209.69 |        879.80 | 01.31
    5 | SATURDAY LAMBS              |  204.72 |       1084.52 | 01.61
    6 | TITANS JERK                 |  201.71 |       1286.23 | 01.91
    7 | TORQUE BOUND                |  198.72 |       1484.95 | 02.20
    8 | HARRY IDAHO                 |  195.70 |       1680.65 | 02.49
    9 | INNOCENT USUAL              |  191.74 |       1872.39 | 02.78
   10 | HUSTLER PARTY               |  190.78 |       2063.17 | 03.06
   11 | PELICAN COMFORTS            |  188.74 |       2251.91 | 03.34
   12 | CAT CONEHEADS               |  181.70 |       2433.61 | 03.61
   13 | ENEMY ODDS                  |  180.71 |       2614.32 | 03.88
   14 | BUCKET BROTHERHOOD          |  180.66 |       2794.98 | 04.15
   15 | RANGE MOONWALKER            |  179.73 |       2974.71 | 04.41
   16 | MASSACRE USUAL              |  179.70 |       3154.41 | 04.68
   17 | VIDEOTAPE ARSENIC           |  178.71 |       3333.12 | 04.94
   18 | DOGMA FAMILY                |  178.70 |       3511.82 | 05.21
   19 | APACHE DIVINE               |  178.69 |       3690.51 | 05.47
   20 | VELVET TERMINATOR           |  177.74 |       3868.25 | 05.74
   21 | DORADO NOTTING              |  176.73 |       4044.98 | 06.00
   22 | FOOL MOCKINGBIRD            |  175.77 |       4220.75 | 06.26
   23 | WITCHES PANIC               |  173.70 |       4394.45 | 06.52
   24 | CLOSER BANG                 |  172.72 |       4567.17 | 06.77
   25 | SCALAWAG DUCK               |  172.68 |       4739.85 | 07.03
   26 | ROSES TREASURE              |  171.72 |       4911.57 | 07.29
   27 | SUNRISE LEAGUE              |  170.76 |       5082.33 | 07.54
   28 | SHOW LORD                   |  170.75 |       5253.08 | 07.79
   29 | NIGHTMARE CHILL             |  169.75 |       5422.83 | 08.04
   30 | SCORPION APOLLO             |  168.77 |       5591.60 | 08.29
   31 | AMERICAN CIRCUS             |  167.78 |       5759.38 | 08.54
   32 | CONFIDENTIAL INTERVIEW      |  164.71 |       5924.09 | 08.79
   33 | MAIDEN HOME                 |  163.76 |       6087.85 | 09.03
   34 | SEATTLE EXPECATIONS         |  163.75 |       6415.35 | 09.52
   34 | WORKING MICROCOSMOS         |  163.75 |       6415.35 | 09.52
   36 | BOOGIE AMELIE               |  163.70 |       6579.05 | 09.76
   37 | STING PERSONAL              |  159.79 |       6738.84 | 10.00
   38 | LOLA AGENT                  |  159.76 |       6898.60 | 10.23
   39 | BACKLASH UNDEFEATED         |  158.81 |       7057.41 | 10.47
   40 | MIDSUMMER GROUNDHOG         |  156.78 |       7214.19 | 10.70
   41 | TITANIC BOONDOCK            |  154.77 |       7368.96 | 10.93
   42 | STAGECOACH ARMAGEDDON       |  154.74 |       7523.70 | 11.16
   43 | MINE TITANS                 |  153.81 |       7677.51 | 11.39
   44 | PITY BOUND                  |  153.74 |       7831.25 | 11.62
   45 | SECRETS PARADISE            |  152.80 |       7984.05 | 11.84
   46 | EAGLES PANKY                |  152.78 |       8289.61 | 12.30
   46 | HEAD STRANGER               |  152.78 |       8289.61 | 12.30
   48 | WHISPERER GIANT             |  151.78 |       8441.39 | 12.52
   49 | EASY GLADIATOR              |  150.77 |       8592.16 | 12.74
   50 | MINDS TRUMAN                |  149.80 |       8741.96 | 12.97
   51 | FELLOWSHIP AUTUMN           |  149.74 |       8891.70 | 13.19
   52 | WONDERLAND CHRISTMAS        |  148.78 |       9040.48 | 13.41
   53 | STREETCAR INTENTIONS        |  148.75 |       9189.23 | 13.63
   54 | KISSING DOLLS               |  147.80 |       9337.03 | 13.85
   55 | SUIT WALLS                  |  147.79 |       9484.82 | 14.07
   56 | TRADING PINOCCHIO           |  147.75 |       9632.57 | 14.29
